Price,Address,Bed,Bath,Living Area
"$484,000 ","1455 Destoya Ave Rowland Heights, CA",3,1,"1,014 sqft"
"$437,000 ","1403 Kingsmill Ave Rowland Heights, CA",3,2,"1,112 sqft"
"$743,000 ","19159 Galatina St Rowland Heights, CA",4,3,"1,892 sqft"
"$620,000 ","19390 Dairen St Rowland Heights, CA",3,2,"1,220 sqft"
"$701,000 ","19335 Balan Rd Rowland Heights, CA",5,3,"1,976 sqft"
"$1,128,000 ","18568 Nottingham Ln Rowland Heights, CA",4,4,"3,212 sqft"
"$621,500 ","2125 Camwood Ave Rowland Heights, CA",4,2,"1,933 sqft"
"$620,000 ","2269 Alexdale Ln Rowland Heights, CA",3,2,"1,500 sqft"
"$608,000 ","19353 Andrada Dr Rowland Heights, CA",3,2,"1,327 sqft"
"$606,000 ","18620 Barroso St Rowland Heights, CA",3,2,"1,708 sqft"
"$590,000 ","3001 Blandford Dr Rowland Heights, CA",4,2,"1,253 sqft"
"$575,000 ","18514 Bellorita St Rowland Heights, CA",4,2,"1,476 sqft"
"$800,000 ","17829 Calle Los Arboles Rowland Heights, CA",4,3,"2,388 sqft"
"$985,000 ","18462 Mescal St Rowland Heights, CA",4,3,"2,102 sqft"
"$808,000 ","19329 Balan Rd Rowland Heights, CA",4,3,"2,453 sqft"
"$585,000 ","1526 Cedarbreak Ave Rowland Heights, CA",4,2,"1,470 sqft"
"$950,000 ","18925 Westleigh Pl Rowland Heights, CA",3,3,"2,608 sqft"
